"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"159","article_0_0_0_0_0_102_1_1_2.xml.state","wide.t",NA,62,38411,56,37290,19532,19532
"160","article_0_0_0_0_0_102_1_1_2.xml.state","WilsonBalding.t",NA,36,38208,28,37137,5707,5707
"161","article_0_0_0_0_0_102_1_1_2.xml.state","BirthRateScaler.t",0.356507321039606,11736,26700,10877,26426,0,0
"162","article_0_0_0_0_0_102_1_1_2.xml.state","DeathRateScaler.t",0.156995393276983,12083,26589,11232,26341,5445,5445
"163","article_0_0_0_0_0_102_1_2_1.xml.state","treeScaler.t",0.799258460695536,6326,32018,6264,30974,0,0
"164","article_0_0_0_0_0_102_1_2_1.xml.state","treeRootScaler.t",0.74377846206574,4095,34466,4029,33379,12071,12071
"165","article_0_0_0_0_0_102_1_2_1.xml.state","UniformOperator.t",NA,109948,275254,106646,267413,0,0
"166","article_0_0_0_0_0_102_1_2_1.xml.state","SubtreeSlide.t",0.1767305458633,3367,188992,3330,183528,82584,82584
"167","article_0_0_0_0_0_102_1_2_1.xml.state","narrow.t",NA,8012,184317,7655,179235,0,0
"168","article_0_0_0_0_0_102_1_2_1.xml.state","wide.t",NA,46,38142,41,36994,19678,19678
"169","article_0_0_0_0_0_102_1_2_1.xml.state","WilsonBalding.t",NA,74,38237,61,37167,5869,5869
"170","article_0_0_0_0_0_102_1_2_1.xml.state","BirthRateScaler.t",0.345811366429627,11228,26975,10426,26683,0,0
"171","article_0_0_0_0_0_102_1_2_1.xml.state","DeathRateScaler.t",0.168279225638319,12241,26263,11281,26076,4641,4641
"172","article_0_0_0_0_0_102_1_2_2.xml.state","treeScaler.t",0.7853865546786,5604,32796,5550,31703,0,0
"173","article_0_0_0_0_0_102_1_2_2.xml.state","treeRootScaler.t",0.75834029521956,4387,34415,4340,33407,12141,12141
"174","article_0_0_0_0_0_102_1_2_2.xml.state","UniformOperator.t",NA,108999,275639,105835,267804,0,0
"175","article_0_0_0_0_0_102_1_2_2.xml.state","SubtreeSlide.t",0.244720492837097,2419,189600,2398,184017,86087,86087
